,stim_name,angle,velocity,stim_type,stationary_time,duration
448,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
449,x_forward,"(0, 0)","(0, 0.02)",b,3,35
450,backward,90,0.02,s,3,35
451,forward_x,"(0, 0)","(0.02, 0)",b,3,35
452,backward_right,45,0.02,s,3,35
453,forward_left,225,0.02,s,3,35
454,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
455,backward_x,"(180, 180)","(0.02, 0)",b,3,35
456,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
457,forward_right,-45,0.02,s,3,35
458,medial_left,"(90, 270)","(0, 0.02)",b,3,35
459,backward_left,135,0.02,s,3,35
460,left,180,0.02,s,3,35
461,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
462,forward,-90,0.02,s,3,35
463,medial_right,"(90, 270)","(0.02, 0)",b,3,35
464,right,0,0.02,s,3,35
465,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
466,x_backward,"(180, 180)","(0, 0.02)",b,3,35
467,converging,"(90, 270)","(0.02, 0.02)",b,3,35
468,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
469,x_forward,"(0, 0)","(0, 0.02)",b,3,35
470,backward,90,0.02,s,3,35
471,forward_x,"(0, 0)","(0.02, 0)",b,3,35
472,backward_right,45,0.02,s,3,35
473,forward_left,225,0.02,s,3,35
474,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
475,backward_x,"(180, 180)","(0.02, 0)",b,3,35
476,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
477,forward_right,-45,0.02,s,3,35
478,medial_left,"(90, 270)","(0, 0.02)",b,3,35
479,backward_left,135,0.02,s,3,35
480,left,180,0.02,s,3,35
481,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
482,forward,-90,0.02,s,3,35
483,medial_right,"(90, 270)","(0.02, 0)",b,3,35
484,right,0,0.02,s,3,35
485,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
486,x_backward,"(180, 180)","(0, 0.02)",b,3,35
487,converging,"(90, 270)","(0.02, 0.02)",b,3,35
488,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
489,x_forward,"(0, 0)","(0, 0.02)",b,3,35
490,backward,90,0.02,s,3,35
491,forward_x,"(0, 0)","(0.02, 0)",b,3,35
492,backward_right,45,0.02,s,3,35
493,forward_left,225,0.02,s,3,35
494,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
495,backward_x,"(180, 180)","(0.02, 0)",b,3,35
496,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
497,forward_right,-45,0.02,s,3,35
498,medial_left,"(90, 270)","(0, 0.02)",b,3,35
499,backward_left,135,0.02,s,3,35
500,left,180,0.02,s,3,35
501,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
502,forward,-90,0.02,s,3,35
503,medial_right,"(90, 270)","(0.02, 0)",b,3,35
504,right,0,0.02,s,3,35
505,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
506,x_backward,"(180, 180)","(0, 0.02)",b,3,35
507,converging,"(90, 270)","(0.02, 0.02)",b,3,35
508,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
509,x_forward,"(0, 0)","(0, 0.02)",b,3,35
510,backward,90,0.02,s,3,35
511,forward_x,"(0, 0)","(0.02, 0)",b,3,35
512,backward_right,45,0.02,s,3,35
513,forward_left,225,0.02,s,3,35
514,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
515,backward_x,"(180, 180)","(0.02, 0)",b,3,35
516,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
517,forward_right,-45,0.02,s,3,35
518,medial_left,"(90, 270)","(0, 0.02)",b,3,35
519,backward_left,135,0.02,s,3,35
520,left,180,0.02,s,3,35
521,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
522,forward,-90,0.02,s,3,35
523,medial_right,"(90, 270)","(0.02, 0)",b,3,35
524,right,0,0.02,s,3,35
525,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
526,x_backward,"(180, 180)","(0, 0.02)",b,3,35
527,converging,"(90, 270)","(0.02, 0.02)",b,3,35
528,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
529,x_forward,"(0, 0)","(0, 0.02)",b,3,35
530,backward,90,0.02,s,3,35
531,forward_x,"(0, 0)","(0.02, 0)",b,3,35
532,backward_right,45,0.02,s,3,35
533,forward_left,225,0.02,s,3,35
534,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
535,backward_x,"(180, 180)","(0.02, 0)",b,3,35
536,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
537,forward_right,-45,0.02,s,3,35
538,medial_left,"(90, 270)","(0, 0.02)",b,3,35
539,backward_left,135,0.02,s,3,35
540,left,180,0.02,s,3,35
541,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
542,forward,-90,0.02,s,3,35
543,medial_right,"(90, 270)","(0.02, 0)",b,3,35
544,right,0,0.02,s,3,35
545,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
546,x_backward,"(180, 180)","(0, 0.02)",b,3,35
547,converging,"(90, 270)","(0.02, 0.02)",b,3,35
548,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
549,x_forward,"(0, 0)","(0, 0.02)",b,3,35
550,backward,90,0.02,s,3,35
551,forward_x,"(0, 0)","(0.02, 0)",b,3,35
552,backward_right,45,0.02,s,3,35
553,forward_left,225,0.02,s,3,35
554,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
555,backward_x,"(180, 180)","(0.02, 0)",b,3,35
556,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
557,forward_right,-45,0.02,s,3,35
558,medial_left,"(90, 270)","(0, 0.02)",b,3,35
559,backward_left,135,0.02,s,3,35
560,left,180,0.02,s,3,35
561,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
562,forward,-90,0.02,s,3,35
563,blank,-90,0,s,0,14400
564,medial_right,"(90, 270)","(0.02, 0)",b,3,35
565,right,0,0.02,s,3,35
566,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
567,x_backward,"(180, 180)","(0, 0.02)",b,3,35
568,converging,"(90, 270)","(0.02, 0.02)",b,3,35
569,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
570,x_forward,"(0, 0)","(0, 0.02)",b,3,35
571,backward,90,0.02,s,3,35
572,forward_x,"(0, 0)","(0.02, 0)",b,3,35
573,backward_right,45,0.02,s,3,35
574,forward_left,225,0.02,s,3,35
575,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
576,backward_x,"(180, 180)","(0.02, 0)",b,3,35
577,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
578,forward_right,-45,0.02,s,3,35
579,medial_left,"(90, 270)","(0, 0.02)",b,3,35
580,backward_left,135,0.02,s,3,35
581,left,180,0.02,s,3,35
582,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
583,forward,-90,0.02,s,3,35
584,medial_right,"(90, 270)","(0.02, 0)",b,3,35
585,right,0,0.02,s,3,35
586,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
587,x_backward,"(180, 180)","(0, 0.02)",b,3,35
588,converging,"(90, 270)","(0.02, 0.02)",b,3,35
589,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
590,x_forward,"(0, 0)","(0, 0.02)",b,3,35
591,backward,90,0.02,s,3,35
592,forward_x,"(0, 0)","(0.02, 0)",b,3,35
593,backward_right,45,0.02,s,3,35
594,forward_left,225,0.02,s,3,35
595,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
596,backward_x,"(180, 180)","(0.02, 0)",b,3,35
597,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
598,forward_right,-45,0.02,s,3,35
599,medial_left,"(90, 270)","(0, 0.02)",b,3,35
600,backward_left,135,0.02,s,3,35
601,left,180,0.02,s,3,35
602,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
603,forward,-90,0.02,s,3,35
604,medial_right,"(90, 270)","(0.02, 0)",b,3,35
605,right,0,0.02,s,3,35
606,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
607,x_backward,"(180, 180)","(0, 0.02)",b,3,35
608,converging,"(90, 270)","(0.02, 0.02)",b,3,35
609,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
610,x_forward,"(0, 0)","(0, 0.02)",b,3,35
611,backward,90,0.02,s,3,35
612,forward_x,"(0, 0)","(0.02, 0)",b,3,35
613,backward_right,45,0.02,s,3,35
614,forward_left,225,0.02,s,3,35
615,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
616,backward_x,"(180, 180)","(0.02, 0)",b,3,35
617,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
618,forward_right,-45,0.02,s,3,35
619,medial_left,"(90, 270)","(0, 0.02)",b,3,35
620,backward_left,135,0.02,s,3,35
621,left,180,0.02,s,3,35
622,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
623,forward,-90,0.02,s,3,35
624,medial_right,"(90, 270)","(0.02, 0)",b,3,35
625,right,0,0.02,s,3,35
626,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
627,x_backward,"(180, 180)","(0, 0.02)",b,3,35
628,converging,"(90, 270)","(0.02, 0.02)",b,3,35
629,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
630,x_forward,"(0, 0)","(0, 0.02)",b,3,35
631,backward,90,0.02,s,3,35
632,forward_x,"(0, 0)","(0.02, 0)",b,3,35
633,backward_right,45,0.02,s,3,35
634,forward_left,225,0.02,s,3,35
635,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
636,backward_x,"(180, 180)","(0.02, 0)",b,3,35
637,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
638,forward_right,-45,0.02,s,3,35
639,medial_left,"(90, 270)","(0, 0.02)",b,3,35
640,backward_left,135,0.02,s,3,35
641,left,180,0.02,s,3,35
642,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
643,forward,-90,0.02,s,3,35
644,medial_right,"(90, 270)","(0.02, 0)",b,3,35
645,right,0,0.02,s,3,35
646,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
647,x_backward,"(180, 180)","(0, 0.02)",b,3,35
648,converging,"(90, 270)","(0.02, 0.02)",b,3,35
649,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
650,x_forward,"(0, 0)","(0, 0.02)",b,3,35
651,backward,90,0.02,s,3,35
652,forward_x,"(0, 0)","(0.02, 0)",b,3,35
653,backward_right,45,0.02,s,3,35
654,forward_left,225,0.02,s,3,35
655,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
656,backward_x,"(180, 180)","(0.02, 0)",b,3,35
657,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
658,forward_right,-45,0.02,s,3,35
659,medial_left,"(90, 270)","(0, 0.02)",b,3,35
660,backward_left,135,0.02,s,3,35
661,left,180,0.02,s,3,35
662,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
663,forward,-90,0.02,s,3,35
664,medial_right,"(90, 270)","(0.02, 0)",b,3,35
665,right,0,0.02,s,3,35
666,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
667,x_backward,"(180, 180)","(0, 0.02)",b,3,35
668,converging,"(90, 270)","(0.02, 0.02)",b,3,35
