,stim_name,angle,velocity,stim_type,stationary_time,duration
840,medial_left,"(90, 270)","(0, 0.02)",b,3,35
841,backward_left,135,0.02,s,3,35
842,left,180,0.02,s,3,35
843,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
844,forward,-90,0.02,s,3,35
845,blank,-90,0,s,0,14400
846,medial_right,"(90, 270)","(0.02, 0)",b,3,35
847,right,0,0.02,s,3,35
848,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
849,x_backward,"(180, 180)","(0, 0.02)",b,3,35
850,converging,"(90, 270)","(0.02, 0.02)",b,3,35
851,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
852,x_forward,"(0, 0)","(0, 0.02)",b,3,35
853,backward,90,0.02,s,3,35
854,forward_x,"(0, 0)","(0.02, 0)",b,3,35
855,backward_right,45,0.02,s,3,35
856,forward_left,225,0.02,s,3,35
857,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
858,backward_x,"(180, 180)","(0.02, 0)",b,3,35
859,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
860,forward_right,-45,0.02,s,3,35
861,medial_left,"(90, 270)","(0, 0.02)",b,3,35
862,backward_left,135,0.02,s,3,35
863,left,180,0.02,s,3,35
864,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
865,forward,-90,0.02,s,3,35
866,medial_right,"(90, 270)","(0.02, 0)",b,3,35
867,right,0,0.02,s,3,35
868,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
869,x_backward,"(180, 180)","(0, 0.02)",b,3,35
870,converging,"(90, 270)","(0.02, 0.02)",b,3,35
871,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
872,x_forward,"(0, 0)","(0, 0.02)",b,3,35
873,backward,90,0.02,s,3,35
874,forward_x,"(0, 0)","(0.02, 0)",b,3,35
875,backward_right,45,0.02,s,3,35
876,forward_left,225,0.02,s,3,35
877,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
878,backward_x,"(180, 180)","(0.02, 0)",b,3,35
879,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
880,forward_right,-45,0.02,s,3,35
881,medial_left,"(90, 270)","(0, 0.02)",b,3,35
882,backward_left,135,0.02,s,3,35
883,left,180,0.02,s,3,35
884,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
885,forward,-90,0.02,s,3,35
886,medial_right,"(90, 270)","(0.02, 0)",b,3,35
887,right,0,0.02,s,3,35
888,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
889,x_backward,"(180, 180)","(0, 0.02)",b,3,35
890,converging,"(90, 270)","(0.02, 0.02)",b,3,35
891,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
892,x_forward,"(0, 0)","(0, 0.02)",b,3,35
893,backward,90,0.02,s,3,35
894,forward_x,"(0, 0)","(0.02, 0)",b,3,35
895,backward_right,45,0.02,s,3,35
896,forward_left,225,0.02,s,3,35
897,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
898,backward_x,"(180, 180)","(0.02, 0)",b,3,35
899,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
900,forward_right,-45,0.02,s,3,35
901,medial_left,"(90, 270)","(0, 0.02)",b,3,35
902,backward_left,135,0.02,s,3,35
903,left,180,0.02,s,3,35
904,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
905,forward,-90,0.02,s,3,35
906,medial_right,"(90, 270)","(0.02, 0)",b,3,35
907,right,0,0.02,s,3,35
908,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
909,x_backward,"(180, 180)","(0, 0.02)",b,3,35
910,converging,"(90, 270)","(0.02, 0.02)",b,3,35
911,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
912,x_forward,"(0, 0)","(0, 0.02)",b,3,35
913,backward,90,0.02,s,3,35
914,forward_x,"(0, 0)","(0.02, 0)",b,3,35
915,backward_right,45,0.02,s,3,35
916,forward_left,225,0.02,s,3,35
917,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
918,backward_x,"(180, 180)","(0.02, 0)",b,3,35
919,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
920,forward_right,-45,0.02,s,3,35
921,medial_left,"(90, 270)","(0, 0.02)",b,3,35
922,backward_left,135,0.02,s,3,35
923,left,180,0.02,s,3,35
924,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
925,forward,-90,0.02,s,3,35
926,medial_right,"(90, 270)","(0.02, 0)",b,3,35
927,right,0,0.02,s,3,35
928,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
929,x_backward,"(180, 180)","(0, 0.02)",b,3,35
930,converging,"(90, 270)","(0.02, 0.02)",b,3,35
931,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
932,x_forward,"(0, 0)","(0, 0.02)",b,3,35
933,backward,90,0.02,s,3,35
934,forward_x,"(0, 0)","(0.02, 0)",b,3,35
935,backward_right,45,0.02,s,3,35
936,forward_left,225,0.02,s,3,35
937,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
938,backward_x,"(180, 180)","(0.02, 0)",b,3,35
939,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
940,forward_right,-45,0.02,s,3,35
941,medial_left,"(90, 270)","(0, 0.02)",b,3,35
942,backward_left,135,0.02,s,3,35
943,left,180,0.02,s,3,35
944,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
945,forward,-90,0.02,s,3,35
946,medial_right,"(90, 270)","(0.02, 0)",b,3,35
947,right,0,0.02,s,3,35
948,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
949,x_backward,"(180, 180)","(0, 0.02)",b,3,35
950,converging,"(90, 270)","(0.02, 0.02)",b,3,35
951,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
952,x_forward,"(0, 0)","(0, 0.02)",b,3,35
953,backward,90,0.02,s,3,35
954,forward_x,"(0, 0)","(0.02, 0)",b,3,35
955,backward_right,45,0.02,s,3,35
956,forward_left,225,0.02,s,3,35
957,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
958,backward_x,"(180, 180)","(0.02, 0)",b,3,35
959,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
960,forward_right,-45,0.02,s,3,35
961,medial_left,"(90, 270)","(0, 0.02)",b,3,35
962,backward_left,135,0.02,s,3,35
963,left,180,0.02,s,3,35
964,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
965,forward,-90,0.02,s,3,35
966,medial_right,"(90, 270)","(0.02, 0)",b,3,35
967,right,0,0.02,s,3,35
968,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
969,x_backward,"(180, 180)","(0, 0.02)",b,3,35
970,converging,"(90, 270)","(0.02, 0.02)",b,3,35
971,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
972,x_forward,"(0, 0)","(0, 0.02)",b,3,35
973,backward,90,0.02,s,3,35
974,forward_x,"(0, 0)","(0.02, 0)",b,3,35
975,backward_right,45,0.02,s,3,35
976,forward_left,225,0.02,s,3,35
977,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
978,backward_x,"(180, 180)","(0.02, 0)",b,3,35
979,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
980,forward_right,-45,0.02,s,3,35
981,medial_left,"(90, 270)","(0, 0.02)",b,3,35
982,backward_left,135,0.02,s,3,35
983,left,180,0.02,s,3,35
984,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
985,forward,-90,0.02,s,3,35
986,blank,-90,0,s,0,14400
987,medial_right,"(90, 270)","(0.02, 0)",b,3,35
988,right,0,0.02,s,3,35
989,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
990,x_backward,"(180, 180)","(0, 0.02)",b,3,35
991,converging,"(90, 270)","(0.02, 0.02)",b,3,35
992,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
993,x_forward,"(0, 0)","(0, 0.02)",b,3,35
994,backward,90,0.02,s,3,35
995,forward_x,"(0, 0)","(0.02, 0)",b,3,35
996,backward_right,45,0.02,s,3,35
997,forward_left,225,0.02,s,3,35
998,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
999,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1000,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1001,forward_right,-45,0.02,s,3,35
1002,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1003,backward_left,135,0.02,s,3,35
1004,left,180,0.02,s,3,35
1005,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1006,forward,-90,0.02,s,3,35
1007,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1008,right,0,0.02,s,3,35
1009,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1010,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1011,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1012,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1013,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1014,backward,90,0.02,s,3,35
1015,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1016,backward_right,45,0.02,s,3,35
1017,forward_left,225,0.02,s,3,35
1018,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1019,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1020,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1021,forward_right,-45,0.02,s,3,35
1022,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1023,backward_left,135,0.02,s,3,35
1024,left,180,0.02,s,3,35
1025,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1026,forward,-90,0.02,s,3,35
1027,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1028,right,0,0.02,s,3,35
1029,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1030,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1031,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1032,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1033,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1034,backward,90,0.02,s,3,35
1035,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1036,backward_right,45,0.02,s,3,35
1037,forward_left,225,0.02,s,3,35
1038,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1039,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1040,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1041,forward_right,-45,0.02,s,3,35
1042,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1043,backward_left,135,0.02,s,3,35
1044,left,180,0.02,s,3,35
1045,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1046,forward,-90,0.02,s,3,35
1047,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1048,right,0,0.02,s,3,35
1049,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1050,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1051,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1052,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1053,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1054,backward,90,0.02,s,3,35
1055,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1056,backward_right,45,0.02,s,3,35
1057,forward_left,225,0.02,s,3,35
1058,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1059,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1060,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1061,forward_right,-45,0.02,s,3,35
1062,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1063,backward_left,135,0.02,s,3,35
1064,left,180,0.02,s,3,35
1065,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1066,forward,-90,0.02,s,3,35
1067,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1068,right,0,0.02,s,3,35
1069,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1070,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1071,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1072,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1073,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1074,backward,90,0.02,s,3,35
1075,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1076,backward_right,45,0.02,s,3,35
1077,forward_left,225,0.02,s,3,35
1078,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1079,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1080,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1081,forward_right,-45,0.02,s,3,35
1082,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1083,backward_left,135,0.02,s,3,35
1084,left,180,0.02,s,3,35
1085,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1086,forward,-90,0.02,s,3,35
1087,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1088,right,0,0.02,s,3,35
1089,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1090,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1091,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1092,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1093,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1094,backward,90,0.02,s,3,35
1095,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1096,backward_right,45,0.02,s,3,35
1097,forward_left,225,0.02,s,3,35
1098,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1099,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1100,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1101,forward_right,-45,0.02,s,3,35
1102,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1103,backward_left,135,0.02,s,3,35
1104,left,180,0.02,s,3,35
1105,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1106,forward,-90,0.02,s,3,35
1107,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1108,right,0,0.02,s,3,35
1109,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1110,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1111,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1112,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1113,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1114,backward,90,0.02,s,3,35
1115,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1116,backward_right,45,0.02,s,3,35
1117,forward_left,225,0.02,s,3,35
1118,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1119,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1120,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1121,forward_right,-45,0.02,s,3,35
1122,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1123,backward_left,135,0.02,s,3,35
1124,left,180,0.02,s,3,35
1125,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1126,forward,-90,0.02,s,3,35
1127,blank,-90,0,s,0,14400
1128,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1129,right,0,0.02,s,3,35
1130,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1131,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1132,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1133,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1134,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1135,backward,90,0.02,s,3,35
1136,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1137,backward_right,45,0.02,s,3,35
1138,forward_left,225,0.02,s,3,35
1139,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1140,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1141,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1142,forward_right,-45,0.02,s,3,35
1143,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1144,backward_left,135,0.02,s,3,35
1145,left,180,0.02,s,3,35
1146,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1147,forward,-90,0.02,s,3,35
1148,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1149,right,0,0.02,s,3,35
1150,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1151,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1152,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1153,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1154,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1155,backward,90,0.02,s,3,35
1156,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1157,backward_right,45,0.02,s,3,35
1158,forward_left,225,0.02,s,3,35
1159,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1160,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1161,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1162,forward_right,-45,0.02,s,3,35
1163,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1164,backward_left,135,0.02,s,3,35
1165,left,180,0.02,s,3,35
1166,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1167,forward,-90,0.02,s,3,35
1168,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1169,right,0,0.02,s,3,35
1170,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1171,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1172,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1173,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1174,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1175,backward,90,0.02,s,3,35
1176,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1177,backward_right,45,0.02,s,3,35
1178,forward_left,225,0.02,s,3,35
1179,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1180,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1181,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1182,forward_right,-45,0.02,s,3,35
1183,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1184,backward_left,135,0.02,s,3,35
1185,left,180,0.02,s,3,35
1186,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1187,forward,-90,0.02,s,3,35
1188,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1189,right,0,0.02,s,3,35
1190,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1191,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1192,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1193,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1194,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1195,backward,90,0.02,s,3,35
1196,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1197,backward_right,45,0.02,s,3,35
1198,forward_left,225,0.02,s,3,35
1199,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1200,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1201,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1202,forward_right,-45,0.02,s,3,35
1203,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1204,backward_left,135,0.02,s,3,35
1205,left,180,0.02,s,3,35
1206,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1207,forward,-90,0.02,s,3,35
1208,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1209,right,0,0.02,s,3,35
1210,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1211,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1212,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1213,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1214,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1215,backward,90,0.02,s,3,35
1216,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1217,backward_right,45,0.02,s,3,35
1218,forward_left,225,0.02,s,3,35
1219,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1220,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1221,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1222,forward_right,-45,0.02,s,3,35
1223,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1224,backward_left,135,0.02,s,3,35
1225,left,180,0.02,s,3,35
1226,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1227,forward,-90,0.02,s,3,35
1228,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1229,right,0,0.02,s,3,35
1230,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1231,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1232,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1233,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1234,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1235,backward,90,0.02,s,3,35
1236,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1237,backward_right,45,0.02,s,3,35
1238,forward_left,225,0.02,s,3,35
1239,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1240,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1241,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1242,forward_right,-45,0.02,s,3,35
1243,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1244,backward_left,135,0.02,s,3,35
1245,left,180,0.02,s,3,35
1246,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1247,forward,-90,0.02,s,3,35
1248,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1249,right,0,0.02,s,3,35
1250,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1251,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1252,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1253,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1254,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1255,backward,90,0.02,s,3,35
1256,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1257,backward_right,45,0.02,s,3,35
1258,forward_left,225,0.02,s,3,35
1259,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1260,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1261,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1262,forward_right,-45,0.02,s,3,35
1263,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1264,backward_left,135,0.02,s,3,35
1265,left,180,0.02,s,3,35
1266,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1267,forward,-90,0.02,s,3,35
1268,blank,-90,0,s,0,14400
1269,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1270,right,0,0.02,s,3,35
1271,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1272,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1273,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1274,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1275,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1276,backward,90,0.02,s,3,35
1277,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1278,backward_right,45,0.02,s,3,35
1279,forward_left,225,0.02,s,3,35
1280,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1281,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1282,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1283,forward_right,-45,0.02,s,3,35
1284,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1285,backward_left,135,0.02,s,3,35
1286,left,180,0.02,s,3,35
1287,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1288,forward,-90,0.02,s,3,35
1289,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1290,right,0,0.02,s,3,35
1291,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1292,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1293,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1294,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1295,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1296,backward,90,0.02,s,3,35
1297,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1298,backward_right,45,0.02,s,3,35
1299,forward_left,225,0.02,s,3,35
1300,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1301,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1302,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1303,forward_right,-45,0.02,s,3,35
1304,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1305,backward_left,135,0.02,s,3,35
1306,left,180,0.02,s,3,35
1307,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1308,forward,-90,0.02,s,3,35
1309,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1310,right,0,0.02,s,3,35
1311,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1312,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1313,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1314,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1315,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1316,backward,90,0.02,s,3,35
1317,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1318,backward_right,45,0.02,s,3,35
1319,forward_left,225,0.02,s,3,35
1320,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1321,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1322,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1323,forward_right,-45,0.02,s,3,35
1324,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1325,backward_left,135,0.02,s,3,35
1326,left,180,0.02,s,3,35
1327,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1328,forward,-90,0.02,s,3,35
1329,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1330,right,0,0.02,s,3,35
1331,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1332,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1333,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1334,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1335,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1336,backward,90,0.02,s,3,35
1337,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1338,backward_right,45,0.02,s,3,35
1339,forward_left,225,0.02,s,3,35
1340,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1341,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1342,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1343,forward_right,-45,0.02,s,3,35
1344,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1345,backward_left,135,0.02,s,3,35
1346,left,180,0.02,s,3,35
1347,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1348,forward,-90,0.02,s,3,35
1349,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1350,right,0,0.02,s,3,35
1351,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
1352,x_backward,"(180, 180)","(0, 0.02)",b,3,35
1353,converging,"(90, 270)","(0.02, 0.02)",b,3,35
1354,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
1355,x_forward,"(0, 0)","(0, 0.02)",b,3,35
1356,backward,90,0.02,s,3,35
1357,forward_x,"(0, 0)","(0.02, 0)",b,3,35
1358,backward_right,45,0.02,s,3,35
1359,forward_left,225,0.02,s,3,35
1360,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
1361,backward_x,"(180, 180)","(0.02, 0)",b,3,35
1362,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
1363,forward_right,-45,0.02,s,3,35
1364,medial_left,"(90, 270)","(0, 0.02)",b,3,35
1365,backward_left,135,0.02,s,3,35
1366,left,180,0.02,s,3,35
1367,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
1368,forward,-90,0.02,s,3,35
1369,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1370,right,0,0.02,s,3,35
1371,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
